Date,GOL,CVC,WEGE,MGLU,TOTS,BOVA
2015-07-01,7.119999885559082,18.649999618530273,7.492307186126709,0.10781200230121613,12.975345611572266,51.2400016784668
2015-07-02,6.889999866485596,18.5,7.526923179626465,0.10437499731779099,13.065176010131836,51.52000045776367
2015-07-03,6.690000057220459,19.149999618530273,7.626923084259033,0.1015620008111,12.978672981262207,50.88999938964844
2015-07-06,6.510000228881836,18.700000762939453,7.619229793548584,0.09968700259923935,12.858901023864746,50.650001525878906
2015-07-07,6.230000019073486,18.5,7.692306995391846,0.09718699753284454,12.765745162963867,50.72999954223633
2015-07-08,6.199999809265137,18.280000686645508,7.603846073150635,0.09312500059604645,12.472968101501465,50.220001220703125
2015-07-10,6.050000190734863,18.600000381469727,7.5346150398254395,0.09468699991703033,12.489603042602539,51.0
2015-07-13,6.980000019073486,19.010000228881836,7.561538219451904,0.09218700230121613,12.576105117797852,51.5
2015-07-14,6.940000057220459,19.850000381469727,7.5961527824401855,0.09125000238418579,12.729146957397461,51.70000076293945
2015-07-15,7.03000020980835,19.799999237060547,7.592307090759277,0.08656200021505356,12.416407585144043,51.36000061035156
2015-07-16,6.900000095367432,19.950000762939453,7.611537933349609,0.08250000327825546,12.396446228027344,51.52000045776367
2015-07-17,6.630000114440918,19.75,7.550000190734863,0.07968699932098389,12.253384590148926,50.7599983215332
2015-07-20,6.150000095367432,19.799999237060547,7.538461208343506,0.07625000178813934,12.143592834472656,50.11000061035156
2015-07-21,6.090000152587891,19.75,7.611537933349609,0.08749999850988388,12.12363052368164,49.93000030517578
2015-07-22,5.880000114440918,19.190000534057617,7.65384578704834,0.09531199932098389,12.070399284362793,49.36000061035156
2015-07-23,5.630000114440918,18.899999618530273,7.607691764831543,0.11187499761581421,12.007185935974121,48.2400016784668
2015-07-24,5.619999885559082,18.799999237060547,7.669229984283447,0.0949999988079071,11.694446563720703,47.779998779296875
2015-07-27,6.090000152587891,18.549999237060547,7.557692050933838,0.08718699961900711,11.578001022338867,47.349998474121094
2015-07-28,5.800000190734863,18.100000381469727,7.307692050933838,0.08937499672174454,11.60461711883545,48.18000030517578
2015-07-29,5.760000228881836,18.489999771118164,7.0346150398254395,0.0859370008111,11.51146125793457,48.7400016784668
2015-07-30,5.760000228881836,17.989999771118164,7.026923179626465,0.08562500029802322,11.428285598754883,48.43000030517578
2015-07-31,5.679999828338623,18.700000762939453,7.196153163909912,0.11218699812889099,11.89406681060791,49.369998931884766
